box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1,angle_gt_2,box_number_gt_2,arrow_direction_gt_2,arrow_position_gt_2,orientation_type_gt_2,angle_type_type_gt_2
2,65.0,,,,97.3,,2,Acute,02:32:19.246393,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,89.0,Top,Down,Vertical-Down,99.27,81.1,2,Right,02:32:19.246393,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,64.0,,,,96.87,,2,Acute,02:32:18.157038,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,89.0,Top,Down,Vertical-Down,98.97,85.85,2,Right,02:32:18.157038,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,97.79,,2,Acute,02:32:17.114631,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,93.0,Top,Down,Vertical-Down,98.77,81.15,2,Right,02:32:17.114631,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,95.96,,2,Acute,02:32:16.007411,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,83.0,Top,Down,Vertical-Down,98.97,72.93,2,Acute,02:32:16.007411,1.0,4.0,2,4.0,102,1,4,1,14,2,73,2,0,0,0,4
2,62.0,,,,97.41,,2,Acute,02:32:14.948917,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,86.0,Top,Down,Vertical-Down,98.81,77.99,2,Right,02:32:14.948917,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,67.0,,,,97.08,,2,Acute,02:32:13.856666,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,95.0,Top,Down,Vertical-Down,99.15,84.99,2,Right,02:32:13.856666,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,74.0,,,,96.53,,2,Acute,02:32:12.788060,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,98.0,Side,Left,Horizontal-Left,98.91,88.28,2,Right,02:32:12.788060,2.0,1.0,0,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,68.0,,,,97.01,,2,Acute,02:32:11.737905,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,92.0,Top,Down,Vertical-Down,99.28,76.33,2,Right,02:32:11.737905,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,96.98,,2,Acute,02:32:10.650123,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,87.0,Top,Down,Vertical-Down,98.72,79.7,2,Right,02:32:10.650123,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,96.74,,2,Acute,02:32:09.565667,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,91.0,Top,Down,Vertical-Down,98.8,80.69,2,Right,02:32:09.565667,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,70.0,,,,97.72,,2,Acute,02:32:08.449759,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,84.0,Top,Down,Vertical-Down,99.14,72.31,2,Acute,02:32:08.449759,1.0,4.0,2,4.0,102,1,4,1,14,2,73,2,0,0,0,4
2,70.0,,,,97.53,,2,Acute,02:32:07.378220,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,93.0,Top,Down,Vertical-Down,99.14,76.68,2,Right,02:32:07.378220,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,67.0,,,,97.99,,2,Acute,02:32:06.274146,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,90.0,,,,98.95,80.64,2,Right,02:32:06.274146,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
