box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1,angle_gt_2,box_number_gt_2,arrow_direction_gt_2,arrow_position_gt_2,orientation_type_gt_2,angle_type_type_gt_2,angle_gt_3,box_number_gt_3,arrow_direction_gt_3,arrow_position_gt_3,orientation_type_gt_3,angle_type_type_gt_3
1,138.0,Side,Left,Horizontal-Left,99.54,79.43,3,Straight,02:55:46.710896,2.0,1.0,0,3.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,93.0,,,,66.9,,3,Right,02:55:45.625706,,,3,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,92.28,,3,Acute,02:55:45.625706,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,93.0,Top,Down,Vertical-Down,99.38,82.96,3,Right,02:55:45.625706,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,116.0,,,,87.82,,3,Obtuse,02:55:44.533616,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,91.9,51.87,3,Acute,02:55:44.533616,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,91.0,Top,Down,Vertical-Down,99.27,73.3,3,Right,02:55:44.533616,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,102.0,,,,85.15,,3,Obtuse,02:55:43.438159,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,94.4,,3,Acute,02:55:43.438159,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,83.0,Top,Down,Vertical-Down,99.43,74.79,3,Acute,02:55:43.438159,1.0,4.0,2,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
