box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
1,121.0,,,,98.84,99.98,1,Obtuse,21:31:43.430165,,,3,1.0
1,126.0,,,,98.85,99.98,1,Obtuse,21:31:42.394144,,,3,1.0
1,121.0,Side,Right,Horizontal-Right,98.86,99.98,1,Obtuse,21:31:41.366691,2.0,2.0,1,1.0
1,129.0,,,,99.2,99.98,1,Obtuse,21:31:40.341328,,,3,1.0
1,126.0,Side,Right,Horizontal-Right,99.19,99.98,1,Obtuse,21:31:39.316537,2.0,2.0,1,1.0
1,129.0,Side,Left,Horizontal-Left,99.06,99.98,1,Obtuse,21:31:38.279333,2.0,1.0,0,1.0
1,125.0,,,,98.74,99.98,1,Obtuse,21:31:37.252753,,,3,1.0
1,119.0,Side,Right,Horizontal-Right,98.95,99.98,1,Obtuse,21:31:36.216637,2.0,2.0,1,1.0
1,127.0,Side,Right,Horizontal-Right,98.92,99.98,1,Obtuse,21:31:35.186674,2.0,2.0,1,1.0
1,124.0,,,,98.88,99.98,1,Obtuse,21:31:34.170593,,,3,1.0
1,127.0,,,,98.86,99.98,1,Obtuse,21:31:33.133555,,,3,1.0
1,127.0,Side,Right,Horizontal-Right,98.96,99.99,1,Obtuse,21:31:32.113441,2.0,2.0,1,1.0
1,131.0,,,,99.12,99.98,1,Straight,21:31:31.070774,,,3,3.0
1,127.0,,,,99.24,99.98,1,Obtuse,21:31:30.045782,,,3,1.0
1,122.0,,,,99.09,99.98,1,Obtuse,21:31:29.016988,,,3,1.0
1,129.0,,,,98.82,99.98,1,Obtuse,21:31:27.979911,,,3,1.0
1,121.0,Side,Right,Horizontal-Right,98.69,99.98,1,Obtuse,21:31:26.950676,2.0,2.0,1,1.0
1,125.0,,,,98.81,99.98,1,Obtuse,21:31:25.922001,,,3,1.0
1,122.0,Side,Left,Horizontal-Left,98.86,99.98,1,Obtuse,21:31:24.893301,2.0,1.0,0,1.0
1,130.0,,,,98.91,99.98,1,,21:31:23.859031,,,3,
1,124.0,,,,98.55,99.98,1,Obtuse,21:31:22.814671,,,3,1.0
1,125.0,Side,Right,Horizontal-Right,98.83,99.98,1,Obtuse,21:31:21.785678,2.0,2.0,1,1.0
1,121.0,,,,98.95,99.98,1,Obtuse,21:31:20.767848,,,3,1.0
1,122.0,,,,99.06,99.98,1,Obtuse,21:31:19.738686,,,3,1.0
1,126.0,,,,99.03,99.98,1,Obtuse,21:31:18.708986,,,3,1.0
1,128.0,,,,98.91,99.98,1,Obtuse,21:31:17.688359,,,3,1.0
1,127.0,Side,Left,Horizontal-Left,99.06,99.98,1,Obtuse,21:31:16.653933,2.0,1.0,0,1.0
1,127.0,,,,99.0,99.98,1,Obtuse,21:31:15.621079,,,3,1.0
1,126.0,Side,Left,Horizontal-Left,99.07,99.98,1,Obtuse,21:31:14.602627,2.0,1.0,0,1.0
1,133.0,Side,Left,Horizontal-Left,98.79,99.98,1,Straight,21:31:13.574662,2.0,1.0,0,3.0
1,127.0,,,,99.17,99.98,1,Obtuse,21:31:12.531858,,,3,1.0
1,126.0,,,,99.05,99.98,1,Obtuse,21:31:11.505376,,,3,1.0
1,126.0,,,,99.17,99.98,1,Obtuse,21:31:10.474686,,,3,1.0
