box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1
1,49.0,Side,Right,Horizontal-Right,99.07,99.34,1,Straight,20:30:42.886298,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.52,99.42,1,,20:30:41.832798,2.0,2.0,1,,47,1,1,2,21,3
1,50.0,,,,98.62,99.22,1,,20:30:40.790685,,,4,,47,1,1,2,21,3
1,51.0,Side,Left,Horizontal-Left,98.87,99.23,1,Acute,20:30:39.746570,2.0,1.0,0,4.0,47,1,1,2,21,3
1,49.0,,,,98.87,99.24,1,Straight,20:30:38.703915,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.89,99.4,1,,20:30:37.661866,2.0,1.0,0,,47,1,1,2,21,3
1,51.0,Side,Right,Horizontal-Right,98.89,99.44,1,Acute,20:30:36.598684,2.0,2.0,1,4.0,47,1,1,2,21,3
1,49.0,,,,98.65,99.41,1,Straight,20:30:35.561731,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,99.06,99.49,1,,20:30:34.521287,2.0,2.0,1,,47,1,1,2,21,3
1,133.0,Side,Right,Horizontal-Right,98.12,98.67,1,Straight,20:30:33.470063,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.8,99.55,1,,20:30:32.426623,2.0,2.0,1,,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,99.09,98.66,1,,20:30:31.387950,2.0,2.0,1,,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.46,99.23,1,,20:30:30.368985,2.0,2.0,1,,47,1,1,2,21,3
1,50.0,,,,98.93,98.35,1,,20:30:29.320112,,,4,,47,1,1,2,21,3
